id,item,open,high,low,close,up_or_down,version_date,mapping,date_number,year_number,month_number,day_number,refresh_date
11931,Au9999,258.0,258.0,253.0,253.36,-1.89,2013-10-15,-1.0,1015,2013,10,15,2023-01-24 16:54:24
11937,Au9999,252.9,255.5,252.33,255.01,1.65,2013-10-16,1.0,1016,2013,10,16,2023-01-24 16:54:24
11944,Au9999,255.0,255.42,252.89,254.02,-0.99,2013-10-17,-1.0,1017,2013,10,17,2023-01-24 16:54:24
11950,Au9999,255.8,260.99,255.8,260.13,6.11,2013-10-18,1.0,1018,2013,10,18,2023-01-24 16:54:24
11956,Au9999,260.85,261.4,258.61,260.76,0.63,2013-10-21,1.0,1021,2013,10,21,2023-01-24 16:54:24
11962,Au9999,268.09,268.09,261.05,262.78,-5.31,2013-09-13,-1.0,913,2013,9,13,2023-01-24 16:54:24
11968,Au9999,262.8,265.2,261.8,263.76,0.98,2013-09-16,1.0,916,2013,9,16,2023-01-24 16:54:24
11974,Au9999,263.8,263.8,261.0,262.0,-1.76,2013-09-17,-1.0,917,2013,9,17,2023-01-24 16:54:24
11980,Au9999,262.0,262.0,256.9,259.02,-2.98,2013-09-18,-1.0,918,2013,9,18,2023-01-24 16:54:24
11987,Au9999,262.99,263.41,259.8,263.39,4.37,2013-09-23,1.0,923,2013,9,23,2023-01-24 16:54:24
11993,Au9999,263.39,263.55,261.69,262.45,-0.94,2013-09-24,-1.0,924,2013,9,24,2023-01-24 16:54:24
11999,Au9999,260.0,263.5,260.0,262.2,-0.25,2013-09-25,-1.0,925,2013,9,25,2023-01-24 16:54:24
12005,Au9999,263.99,264.95,261.9,264.57,2.37,2013-09-26,1.0,926,2013,9,26,2023-01-24 16:54:24
12011,Au9999,265.0,265.0,262.0,263.58,-0.99,2013-09-27,-1.0,927,2013,9,27,2023-01-24 16:54:24
12017,Au9999,266.0,267.0,264.11,265.65,2.07,2013-09-30,1.0,930,2013,9,30,2023-01-24 16:54:24
12023,Au9999,282.65,282.65,277.6,277.6,-2.4,2013-08-30,-1.0,830,2013,8,30,2023-01-24 16:54:24
12029,Au9999,277.6,278.81,276.01,277.0,-0.6,2013-09-02,-1.0,902,2013,9,2,2023-01-24 16:54:24
12035,Au9999,278.0,278.0,276.2,276.39,-0.61,2013-09-03,-1.0,903,2013,9,3,2023-01-24 16:54:24
12041,Au9999,278.0,280.3,277.99,279.18,2.79,2013-09-04,1.0,904,2013,9,4,2023-01-24 16:54:24
12047,Au9999,278.5,278.5,274.7,275.66,-3.52,2013-09-05,-1.0,905,2013,9,5,2023-01-24 16:54:24
12053,Au9999,277.49,277.49,272.11,273.28,-2.38,2013-09-06,-1.0,906,2013,9,6,2023-01-24 16:54:24
12059,Au9999,276.5,277.0,274.65,276.16,2.88,2013-09-09,1.0,909,2013,9,9,2023-01-24 16:54:24
12065,Au9999,277.0,277.0,273.8,273.8,-2.36,2013-09-10,-1.0,910,2013,9,10,2023-01-24 16:54:24
12071,Au9999,273.8,273.8,270.3,272.38,-1.42,2013-09-11,-1.0,911,2013,9,11,2023-01-24 16:54:24
12077,Au9999,272.5,272.5,267.8,268.09,-4.29,2013-09-12,-1.0,912,2013,9,12,2023-01-24 16:54:24
12083,Au9999,267.0,273.6,264.6,271.89,4.66,2013-08-16,1.0,816,2013,8,16,2023-01-24 16:54:24
12089,Au9999,273.2,275.65,271.7,273.59,1.7,2013-08-19,1.0,819,2013,8,19,2023-01-24 16:54:24
12095,Au9999,274.99,274.99,270.0,270.66,-2.93,2013-08-20,-1.0,820,2013,8,20,2023-01-24 16:54:24
12101,Au9999,272.0,273.9,272.0,272.23,1.57,2013-08-21,1.0,821,2013,8,21,2023-01-24 16:54:24
12107,Au9999,272.8,273.3,271.0,271.79,-0.44,2013-08-22,-1.0,822,2013,8,22,2023-01-24 16:54:24
12113,Au9999,272.98,274.1,272.72,273.19,1.4,2013-08-23,1.0,823,2013,8,23,2023-01-24 16:54:24
12119,Au9999,273.19,278.0,272.85,277.69,4.5,2013-08-26,1.0,826,2013,8,26,2023-01-24 16:54:24
12125,Au9999,278.95,279.8,276.53,278.32,0.63,2013-08-27,1.0,827,2013,8,27,2023-01-24 16:54:24
12131,Au9999,282.59,283.5,279.02,282.27,3.95,2013-08-28,1.0,828,2013,8,28,2023-01-24 16:54:24
12137,Au9999,284.49,284.49,279.21,280.0,-2.27,2013-08-29,-1.0,829,2013,8,29,2023-01-24 16:54:24
12143,Au9999,265.74,265.74,257.5,258.27,-6.12,2013-08-02,-1.0,802,2013,8,2,2023-01-24 16:54:24
12149,Au9999,263.97,264.1,261.8,263.5,5.23,2013-08-05,1.0,805,2013,8,5,2023-01-24 16:54:24
12155,Au9999,263.5,263.5,258.6,259.89,-3.61,2013-08-06,-1.0,806,2013,8,6,2023-01-24 16:54:24
12162,Au9999,259.01,259.5,256.0,257.11,-2.78,2013-08-07,-1.0,807,2013,8,7,2023-01-24 16:54:24
12168,Au9999,259.0,259.6,257.3,259.02,1.91,2013-08-08,1.0,808,2013,8,8,2023-01-24 16:54:24
12174,Au9999,259.15,263.01,258.76,262.2,3.18,2013-08-09,1.0,809,2013,8,9,2023-01-24 16:54:24
12181,Au9999,263.0,266.88,261.61,266.76,4.56,2013-08-12,1.0,812,2013,8,12,2023-01-24 16:54:24
12186,Au9999,267.8,268.29,266.3,267.96,1.2,2013-08-13,1.0,813,2013,8,13,2023-01-24 16:54:24
12192,Au9999,269.5,269.5,264.01,264.75,-3.21,2013-08-14,-1.0,814,2013,8,14,2023-01-24 16:54:24
12198,Au9999,266.0,269.0,264.2,267.23,2.48,2013-08-15,1.0,815,2013,8,15,2023-01-24 16:54:24
12204,Au9999,258.48,259.45,257.25,259.39,2.97,2013-07-19,1.0,719,2013,7,19,2023-01-24 16:54:24
12211,Au9999,259.49,265.3,259.03,264.59,5.2,2013-07-22,1.0,722,2013,7,22,2023-01-24 16:54:24
12217,Au9999,264.59,267.9,264.59,267.17,2.58,2013-07-23,1.0,723,2013,7,23,2023-01-24 16:54:24
12225,Au9999,267.5,269.0,266.6,268.73,1.56,2013-07-24,1.0,724,2013,7,24,2023-01-24 16:54:24
12232,Au9999,268.73,268.73,264.4,264.9,-3.83,2013-07-25,-1.0,725,2013,7,25,2023-01-24 16:54:24
12238,Au9999,267.1,267.65,265.0,266.5,1.6,2013-07-26,1.0,726,2013,7,26,2023-01-24 16:54:24
12245,Au9999,264.49,266.1,262.6,264.31,-2.19,2013-07-29,-1.0,729,2013,7,29,2023-01-24 16:54:24
12251,Au9999,266.98,266.98,264.0,264.1,-0.21,2013-07-30,-1.0,730,2013,7,30,2023-01-24 16:54:24
12257,Au9999,266.5,266.99,264.2,265.76,1.66,2013-07-31,1.0,731,2013,7,31,2023-01-24 16:54:24
12263,Au9999,266.99,266.99,261.8,264.39,-1.37,2013-08-01,-1.0,801,2013,8,1,2023-01-24 16:54:24
12269,Au9999,255.25,255.25,250.8,252.99,-2.26,2013-07-05,-1.0,705,2013,7,5,2023-01-24 16:54:24
12275,Au9999,252.0,252.0,246.0,251.15,-1.84,2013-07-08,-1.0,708,2013,7,8,2023-01-24 16:54:24
12282,Au9999,253.68,256.25,251.19,253.8,2.65,2013-07-09,1.0,709,2013,7,9,2023-01-24 16:54:24
12289,Au9999,254.93,254.93,251.1,252.69,-1.11,2013-07-10,-1.0,710,2013,7,10,2023-01-24 16:54:24
12296,Au9999,254.3,261.4,252.8,259.37,6.68,2013-07-11,1.0,711,2013,7,11,2023-01-24 16:54:24
12303,Au9999,259.37,259.8,256.8,257.59,-1.78,2013-07-12,-1.0,712,2013,7,12,2023-01-24 16:54:24
12309,Au9999,258.49,260.3,256.8,259.7,2.11,2013-07-15,1.0,715,2013,7,15,2023-01-24 16:54:24
12316,Au9999,259.7,277.5,258.0,259.1,-0.6,2013-07-16,-1.0,716,2013,7,16,2023-01-24 16:54:24
12323,Au9999,260.98,260.98,259.11,259.2,0.1,2013-07-17,1.0,717,2013,7,17,2023-01-24 16:54:24
12331,Au9999,260.5,261.0,255.9,256.42,-2.78,2013-07-18,-1.0,718,2013,7,18,2023-01-24 16:54:24
12338,Au9999,266.48,266.48,254.58,262.47,-4.01,2013-06-21,-1.0,621,2013,6,21,2023-01-24 16:54:24
12344,Au9999,261.5,262.95,258.5,260.16,-2.31,2013-06-24,-1.0,624,2013,6,24,2023-01-24 16:54:24
12351,Au9999,260.16,260.5,258.79,258.91,-1.25,2013-06-25,-1.0,625,2013,6,25,2023-01-24 16:54:24
12358,Au9999,259.1,259.3,251.0,251.59,-7.32,2013-06-26,-1.0,626,2013,6,26,2023-01-24 16:54:24
12365,Au9999,251.59,251.6,247.6,250.07,-1.52,2013-06-27,-1.0,627,2013,6,27,2023-01-24 16:54:24
12372,Au9999,250.07,250.07,239.3,243.5,-6.57,2013-06-28,-1.0,628,2013,6,28,2023-01-24 16:54:24
12378,Au9999,243.0,254.3,241.0,254.1,10.6,2013-07-01,1.0,701,2013,7,1,2023-01-24 16:54:24
12384,Au9999,254.1,257.01,252.3,256.6,2.5,2013-07-02,1.0,702,2013,7,2,2023-01-24 16:54:24
