version_date,title,brief,keyword,url
2023-01-17 14:05:01,2023泰国旅游年“中国游客受到真诚欢迎”,1月9日，泰国曼谷素万那普机场洋溢着欢快喜悦的氛围，伴随着阵阵欢呼与问好，泰国迎来了自新冠疫情暴发以来首批中国游客。,中泰关系 黄袍佛国 泰中 新冠 经济复苏,https://news.cctv.com/2023/01/17/ARTIVHdbrcy2YOPmorDNG2WR230117.shtml
2023-01-17 14:02:36,吉隆坡中国文化中心举办迎新春活动,1月14日，马来西亚吉隆坡中国文化中心举办“走进中心过大年”暨中心成立三周年庆祝活动。,文化中心 金蛇狂舞 水墨画 中马 艺术家,https://news.cctv.com/2023/01/17/ARTIxOYdK8zb1cWVglrxx5Ws230117.shtml
2023-01-17 13:51:49,印度民众参加驯牛活动庆祝丰收节,当地时间2023年1月16日，印度马杜赖，人们参加一年一度的驯牛活动，庆祝丰收节。,印度 民众 驯牛 庆祝 丰收节,https://photo.cctv.com/2023/01/17/PHOAAyuqAyB3Gnp4vUkIXVNM230117.shtml
2023-01-17 13:45:56,尼泊尔民众悼念坠机事故遇难者,当地时间2023年1月16日，尼泊尔加德满都，人们举行烛光守夜活动，悼念坠机事故遇难者。,尼泊尔 民众 悼念 坠机 遇难者,https://photo.cctv.com/2023/01/17/PHOAhYNLs52MtdKSSPKbMaTW230117.shtml
2023-01-17 13:27:09,述评：破解时代之问 引领发展之路——习近平主席在达沃斯论坛的演讲和致辞深刻启迪世界,时隔三年，各国嘉宾再次来到冬季的瑞士小镇达沃斯，参加于当地时间16日开始的世界经济论坛2023年年会。历经新冠疫情、乌克兰危机升级等重大事件，人们更加深刻地认识到，世界之变、时代之变、历史之变正以前所未有的方式展开。,幸福路 达沃斯论坛 全球经济展望,https://news.cctv.com/2023/01/17/ARTIPegfeLE0OWZcrAoZz3zC230117.shtml
2023-01-17 10:59:04,新闻观察丨利益集团金钱渗透 美国枪支问题积重难返,为什么美国枪支问题长期难以解决？这还要从枪支泛滥背后的利益集团说起，其中势力最为强大的要数“美国全国步枪协会”。,美国 枪支问题,https://news.cctv.com/2023/01/17/ARTIoG3lCANvtKzHXy7s5vmH230117.shtml
2023-01-17 10:41:09,珍惜纳税人的钱！美国众议长暗示要削减国防开支,据美国《国会山报》报道，在美国国会众议院共和党内部对即将到来的债务上限的争论日益激烈之际，共和党籍的众议长麦卡锡15日暗示，他支持削减部分国防开支。,美国 国防开支,https://news.cctv.com/2023/01/17/ARTI2dBMxbGp0xcWR5S7uPuN230117.shtml
2023-01-17 10:31:25,韩检方发起政治攻势？最大在野党党首再被传唤调查,据韩联社报道，据司法界16日消息，首尔中央地方检察厅反腐调查1部和3部以涉嫌贪污、违反反腐法和利害冲突防止法等为由传唤最大在野党共同民主党党首李在明于27日到案接受调查。,韩国 政治攻势,https://news.cctv.com/2023/01/17/ARTIoikAjLSfE7mpt05ZY8YA230117.shtml
2023-01-17 10:29:06,乌公寓遭袭已致40死俄乌互相指责，到底谁干的？,俄方暗示是乌克兰防空导弹拦截目标时击中了住宅楼，乌方则暗示是俄方发射的巡航导弹击中了公寓。这情节和两个月前的波兰导弹乌龙有点相似，当时俄乌也是类似说法……,俄乌 公寓 袭击,https://news.cctv.com/2023/01/17/ARTI68Ols9BnfuRGFKz9DDeC230117.shtml
2023-01-17 10:27:59,中方呼吁国际社会加大对也门人道和发展投入,中国常驻联合国副代表戴兵16日呼吁国际社会加大对也门的人道和发展投入，共同帮助也门改善人道形势。他同时呼吁也门各方提供必要人道准入，切实保护人道工作者安全。,也门 人道援助,https://news.cctv.com/2023/01/17/ARTITHnJg5pOgQV6oEvLkUjF230117.shtml
2023-01-17 10:21:39,尼泊尔坠机事故已发现69名遇难者 41人身份已确认,尼泊尔雪人航空公司一架搭载72人的航班15日在该国中西部城市博克拉坠毁。截至当地时间16日21时30分，尼泊尔民航局和雪人航空公司表示，已经找到69名遇难者遗骸。,尼泊尔 坠机 遇难者,https://news.cctv.com/2023/01/17/ARTIF6t8dApbRG915kRw18aw230117.shtml
2023-01-17 10:21:17,墨西哥小镇居民着节日服饰 街头跳传统舞蹈,当地时间2023年1月15日，墨西哥查尔博得卡尔佐，数百名居民穿着装扮成帕拉奇科的节日服饰，当地于1月8日至23日举行恰帕斯大节日（Fiesta Grande de Chiapas），舞者在街头跳传统舞蹈。,传统舞蹈 节日服饰 墨西哥,https://photo.cctv.com/2023/01/17/PHOABaEYaOyap3Rg3X4MqNKx230117.shtml
2023-01-17 10:17:08,拜登、特朗普、希拉里都栽了，密件为何总“惹祸”？,近来，美国政坛的“大新闻”不断发酵，现总统拜登在自家私宅和前办公室等地点存放多份涉密文件，消息陆续被披露。,拜登 特朗普 密件,https://news.cctv.com/2023/01/17/ARTI8dy65vEb0G2yG8EtBsj3230117.shtml
2023-01-17 09:34:29,世界经济论坛调查：82%首席经济学家预测美国经济会疲软,据美国福克斯商业频道消息，世界经济论坛16日发布的调查显示，许多首席经济学家对2023年全球经济是否进入衰退持悲观态度，82%的首席经济学家预测美国经济将出现疲软。,世界经济论坛 美国经济,https://news.cctv.com/2023/01/17/ARTIPmcpvMhYR3SUqCBW7mPf230117.shtml
2023-01-17 09:31:51,英媒：尼泊尔失事客机似乎在空中失速 不排除与鸟击有关,当地时间1月15日，尼泊尔雪人航空公司一架客机坠毁，该公司发言人随后表示机上72人全部遇难。据英国《独立报》16日报道，有专家表示，失事客机似乎在半空中出现了失速的情况，此外也不能排除鸟击导致事故发生的可能性。,尼泊尔 失事客机,https://news.cctv.com/2023/01/17/ARTI5UV8FQ3wvLAGrwg46FwQ230117.shtml
